LotArea,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,SalePrice
1869,2Story,6,6,1970,1970,0,987,0,0,1,1,2,1,106000
8521,1Story,5,5,1967,1967,0,912,0,0,1,0,3,1,125000
3182,1Story,7,5,2005,2006,0,1555,0,0,2,0,2,1,192500
8760,1Story,6,6,1959,1959,0,1194,1,0,1,0,3,1,148000
15138,2Story,8,5,1995,1996,0,2794,1,0,2,1,4,1,403000
1680,2Story,6,5,1972,1972,0,987,0,0,1,1,2,1,94500
10650,1Story,5,6,1976,1976,0,894,1,0,1,0,3,1,128200
7851,2Story,6,5,2002,2002,0,1960,1,0,2,1,4,1,216500
1680,2Story,6,3,1971,1971,0,987,0,0,1,1,2,1,89500
8773,1Story,7,5,2004,2004,0,1414,0,0,2,0,3,1,185500
9453,2Story,7,7,1993,2003,0,1744,0,0,2,1,3,1,194500
12030,1Story,8,5,2007,2007,0,1694,0,0,2,0,3,1,318000
8741,1.5Fin,6,4,1945,1950,0,1487,0,0,1,1,3,1,113000
9000,1Story,8,5,2008,2008,0,1566,1,0,2,0,3,1,262500
3880,1Story,5,9,1945,1997,0,866,0,0,1,0,2,1,110500
5000,1.5Fin,5,4,1900,1950,0,1440,0,0,1,0,3,1,79000
10762,2Story,6,6,1980,1980,0,1217,0,0,1,1,3,1,120000
8880,2Story,7,5,1994,2002,0,2110,1,0,2,1,3,1,205000
10400,1Story,7,5,1988,1988,0,1872,0,1,2,0,3,1,241500
9142,2Story,6,8,1910,1950,0,1928,0,0,2,0,4,2,137000
11310,1Story,6,5,1954,1954,0,1375,0,0,1,0,2,1,140000
11317,2Story,7,5,2003,2003,0,1668,0,0,2,1,3,1,180000
159000,1.5Fin,6,7,1958,2006,0,2144,0,1,2,0,4,1,277000
5350,1Story,3,2,1940,1966,0,1306,0,0,1,0,3,1,76500
4750,1Story,8,5,2006,2007,0,1625,1,1,2,0,2,1,235000
8366,2Story,6,5,2004,2004,0,1640,0,0,2,1,3,1,173000
9350,SLvl,6,7,1964,1991,0,1302,0,1,2,0,3,1,158000
8400,1Story,5,6,1957,1957,0,1314,1,0,1,0,3,1,145000
8738,2Story,7,5,1999,1999,0,2291,0,0,2,1,4,1,230000
8791,2Story,6,5,2003,2003,0,1728,0,0,2,1,3,1,207500
8814,1Story,7,5,2006,2006,0,1604,1,0,2,1,3,1,220000
12435,2Story,7,5,2001,2001,0,1792,0,0,2,1,3,1,231500
12702,1Story,5,5,1956,1956,0,882,0,0,1,0,2,1,97000
19296,SLvl,6,5,1962,1962,0,1382,1,0,1,0,3,1,176000
9588,2Story,8,5,2007,2007,0,2574,0,0,2,1,3,1,276000
8471,SLvl,6,7,1977,1995,0,1212,1,0,1,0,3,1,151000
5500,1.5Fin,5,7,1929,2001,390,1316,1,0,1,0,3,1,130000
5232,1Story,5,5,1925,2004,0,764,0,0,1,0,2,1,73000
12090,1Story,6,6,1981,1981,0,1422,0,0,2,0,3,1,175500
11207,2Story,6,5,1997,1997,0,1511,1,0,2,1,3,1,185000
8400,2.5Fin,5,8,1939,1997,420,2192,0,0,2,1,4,1,179500
6900,1Story,5,6,1940,1955,0,778,0,0,1,0,2,1,120500
7917,1Story,6,7,1976,1976,0,1113,1,0,1,1,3,1,148000
10728,2Story,8,5,2006,2006,0,1939,0,0,2,1,3,1,266000
39104,1Story,7,7,1954,2005,0,1363,1,0,1,0,2,1,241500
11764,2Story,8,7,1999,2007,0,2270,0,0,2,1,4,1,290000
9600,1Story,6,6,1958,1988,0,1632,1,0,2,0,3,1,139000
8314,1Story,5,7,1982,1982,0,816,0,0,1,0,2,1,124500
7264,1.5Fin,7,7,1925,2007,0,1548,0,0,2,1,3,1,205000
9196,1Story,7,5,2003,2003,0,1560,0,0,2,0,3,1,201000
19138,1Story,4,5,1951,1951,0,864,0,0,1,0,2,1,141000
14450,1Story,9,5,2006,2007,0,2121,0,0,2,1,3,1,415298
10005,2Story,7,5,1977,1977,0,2022,0,0,2,1,4,1,192000
11287,2Story,7,6,1989,1989,0,1982,0,0,2,1,3,1,228500
7200,1Story,6,5,2006,2006,0,1262,0,0,2,0,2,1,185000
5063,1Story,7,5,2007,2008,0,1314,1,0,2,0,2,1,207500
9612,1Story,8,5,2008,2009,0,1468,0,0,2,0,3,1,244600
8012,1Story,6,5,1992,1992,0,1575,1,0,2,0,2,1,179200
4251,2Story,7,5,2006,2007,0,1250,0,0,2,1,2,1,164700
9786,1.5Fin,6,7,1962,1981,0,1734,0,0,1,1,3,1,159000
8125,1Story,4,4,1971,1971,0,858,0,0,1,0,3,1,88000
9819,1Story,5,5,1967,1967,0,900,0,0,1,0,3,1,122000
8730,2Story,6,7,1915,2003,0,1396,0,0,1,0,3,1,153575
15611,2Story,8,5,2006,2006,0,1919,0,0,2,1,3,1,233230
5687,2Story,5,6,1912,2000,0,1716,1,0,2,0,6,1,135900
11409,1.5Fin,5,4,1949,2008,0,1716,0,0,1,1,3,1,131000
16659,2Story,7,7,1977,1994,0,2263,1,0,2,1,3,1,235000
9600,1Story,6,5,1953,1953,0,1644,1,0,1,0,3,1,167000
7937,SLvl,6,6,1984,1984,0,1003,1,0,1,0,3,1,142500
13710,1.5Fin,5,5,1950,1950,0,1558,0,0,1,1,4,1,152000
7399,2Story,7,5,1997,1998,0,1950,0,0,2,1,3,1,239000
11700,2Story,6,6,1968,1968,0,1743,0,1,1,2,3,1,175000
14000,1Story,6,8,1950,2004,0,1152,0,1,1,0,3,1,158500
15750,1Story,5,5,1953,1953,0,1336,1,0,1,0,2,1,157000
16226,2Story,8,5,1998,1999,0,2452,0,0,2,1,4,1,267000
13704,1Story,7,5,2001,2002,0,1541,0,0,2,0,3,1,205000
9800,1Story,5,7,1972,1972,0,894,1,0,1,0,3,1,149900
18386,2.5Fin,7,9,1880,2002,0,3493,0,0,3,0,3,1,295000
10386,1Story,8,5,2004,2005,0,2000,1,0,2,0,3,1,305900
13474,2Story,7,5,1990,1991,0,2243,1,0,2,1,4,1,225000
7920,1.5Fin,6,7,1920,1950,0,1406,0,0,1,0,3,1,89500
12342,1Story,4,5,1940,1950,0,861,0,0,1,0,1,1,82500
12378,1Story,9,5,2003,2004,0,1944,1,0,2,0,3,1,360000
7685,2Story,6,5,1993,1994,0,1501,0,0,2,1,3,1,165600
8000,1Story,6,6,1948,2002,0,972,1,0,1,0,2,1,132000
7800,1.5Fin,5,7,1939,1950,0,1118,1,0,1,0,3,1,119900
215245,1Story,7,5,1965,1965,0,2036,2,0,2,0,3,1,375000
9600,2Story,7,7,1925,1990,0,1641,0,1,1,1,3,1,178000
7795,2Story,7,5,2004,2005,0,1432,1,0,2,1,3,1,188500
13005,2Story,7,7,1980,1980,0,2353,1,0,2,1,4,1,260000
9000,2Story,8,5,2006,2006,0,1959,0,0,2,1,3,1,270000
9900,2Story,7,5,1993,1993,0,2646,1,0,2,1,4,1,260000
14115,SLvl,7,5,1980,1980,0,1472,1,0,2,0,3,1,187500
16259,2Story,9,5,2006,2006,0,2596,0,0,3,1,4,1,342643
12099,2Story,8,5,2004,2004,0,2468,1,0,2,1,4,1,354000
10380,2Story,7,5,1986,1987,0,2730,1,0,2,1,4,1,301000
5820,1Story,3,8,1955,2005,0,1163,1,0,1,0,3,1,126175
11275,SLvl,7,7,1967,2007,0,2978,0,0,2,1,5,1,242000
5000,1.5Unf,5,6,1941,1950,0,803,0,0,1,0,2,1,87000
10846,1Story,8,5,1993,1993,0,1719,2,0,1,1,1,1,324000
11600,1Story,6,5,1960,1960,0,1383,0,0,1,1,3,1,145250
11888,2.5Unf,6,6,1916,1994,0,2134,0,0,2,0,5,1,214500
6402,2Story,5,5,1920,1950,0,1192,0,0,1,0,3,1,78000
10624,1Story,5,4,1964,1964,0,1728,0,1,2,0,6,2,119000
8176,1Story,5,6,1958,1992,0,1056,1,0,1,0,3,1,139000
10655,1Story,8,5,2003,2004,0,1629,1,0,2,0,3,1,284000
8198,1Story,7,5,2004,2004,0,1358,1,0,2,0,2,1,207000
9042,2Story,6,5,1998,1998,0,1638,1,0,2,1,3,1,192000
164660,1.5Fin,5,6,1965,1965,0,1786,2,0,2,0,3,1,228950
14157,1Story,9,5,2005,2006,0,1922,1,0,2,0,3,1,377426
9135,1Story,7,5,2002,2003,0,1536,1,0,2,0,3,1,214000
14145,1Story,7,7,1984,1998,0,1621,1,0,2,0,3,1,202500
12400,1Story,6,7,1958,1998,0,1215,0,0,1,0,3,1,155000
14191,2Story,8,5,2002,2002,0,1908,0,0,2,1,4,1,202900
8400,1Story,4,4,1950,1950,0,841,0,0,1,0,2,1,82000
8544,1Story,3,4,1949,1950,0,1040,0,0,2,0,2,2,87500
8849,1Story,9,5,2005,2005,0,1684,0,0,2,0,2,1,266000
2592,2Story,5,3,1976,1976,0,1112,0,0,1,1,3,1,85000
6435,1.5Fin,6,5,1939,1950,0,1577,0,0,1,0,3,1,140200
12772,1Story,6,8,1960,1998,0,958,0,0,1,0,2,1,151500
17600,1Story,6,5,1960,1960,0,1478,1,0,2,0,3,1,157500
2448,2Story,7,5,2003,2004,0,1626,1,0,2,1,2,1,154000
20431,2Story,9,5,2005,2006,0,2728,1,0,2,1,4,1,437154
7820,1Story,9,5,2007,2007,0,1869,0,0,2,0,2,1,318061
5271,1Story,7,5,1986,1986,0,1453,1,0,1,1,2,1,190000
9084,1.5Fin,5,6,1941,1950,0,1111,0,1,1,0,3,1,95000
8520,1Story,6,8,1928,2003,0,720,0,0,1,0,2,1,105900
8400,1.5Fin,6,5,1940,2000,0,1595,0,0,1,0,2,1,140000
11249,1Story,6,5,1995,1995,0,1200,1,0,2,0,3,1,177500
9248,1Story,6,6,1992,1992,0,1167,1,0,2,0,3,1,173000
4224,1Story,5,5,1976,1976,0,1142,1,0,1,1,3,1,134000
6930,SLvl,5,4,1958,1958,0,1352,0,1,1,0,3,1,130000
12011,2Story,8,5,1998,1998,0,1924,1,0,2,1,3,1,280000
7540,SFoyer,6,6,1978,1978,0,912,1,0,1,0,2,1,156000
9144,1.5Fin,5,5,1940,1982,0,1505,1,0,1,0,3,1,145000
7301,SFoyer,7,5,2003,2003,0,1922,0,0,3,0,4,1,198500
1680,2Story,6,8,1972,2007,0,987,0,0,1,1,2,1,118000
18800,2Story,6,5,1976,1976,0,1574,1,0,2,1,3,1,190000
10690,2Story,5,7,1920,1997,0,1344,0,0,1,0,3,1,147000
9500,1Story,6,5,1963,1963,0,1394,1,0,1,1,3,1,159000
9150,SLvl,6,5,1962,1962,0,1431,0,1,1,0,3,1,165000
